FFFFFF;White;;;;;;;;
E8E8E8;Very Light Gray;Expensive;;;;;;;
E4E8E8;Very Light Bluish Gray;Expensive;;;;;;;
A0A5A9;Light Bluish Gray;;;;;;;;
9C9C9C;Light Gray;Expensive;;;;;;;
6B5A5A;Dark Gray;Expensive;;;;;;;
6C6E68;Dark Bluish Gray;;;;;;;;
212121;Black;;;;;;;;
6A0E15;Dark Red;;;;;;;;
B30006;Red;;;;;;;;
FF8172;Coral;;;;;;;;
FCC7B7;Light Salmon;Expensive;;;;;;;
50372F;Dark Brown;;;;;;;;
6B3F22;Brown;Expensive;;;;;;;
99663E;Light Brown;Expensive;;;;;;;
82422A;Reddish Brown;;;;;;;;
B89869;Dark Tan;;;;;;;;
EED9A4;Tan;;;;;;;;
FECCB0;Light Nougat;Expensive;;;;;;;
FFAF7D;Nougat;Expensive;;;;;;;
E3A05B;Medium Nougat;;;;;;;;
CE7942;Dark Nougat;Expensive;;;;;;;
E6881D;Earth Orange;Expensive;;;;;;;
B35408;Dark Orange;;;;;;;;
FF7E14;Orange;;;;;;;;
FFA531;Medium Orange;Expensive;;;;;;;
FFC700;Bright Light Orange;;;;;;;;
FFBC36;Light Orange;;;;;;;;
FFDCA4;Very Light Orange;Expensive;;;;;;;
FFE001;Yellow;;;;;;;;
FEE89F;Light Yellow;Expensive;;;;;;;
FFF08C;Bright Light Yellow;;;;;;;;
FFFC00;Neon Yellow;Expensive;;;;;;;
E7F2A7;Yellowish Green;Expensive;;;;;;;
C4E000;Lime;;;;;;;;
ABA953;Olive Green;;;;;;;;
2E5543;Dark Green;;;;;;;;
00923D;Green;;;;;;;;
10CB31;Bright Green;;;;;;;;
D7EED1;Light Green;Expensive;;;;;;;
A2BFA3;Sand Green;;;;;;;;
00A29F;Dark Turquoise;;;;;;;;
CFEFEA;Light Aqua;;;;;;;;
243757;Dark Blue;;;;;;;;
0057A6;Blue;;;;;;;;
009FE0;Dark Azure;;;;;;;;
7DC1D8;Maersk Blue;Expensive;;;;;;;
6ACEE0;Medium Azure;;;;;;;;
82ADD8;Medium Blue;;;;;;;;
BCD1ED;Bright Light Blue;;;;;;;;
8899AB;Sand Blue;;;;;;;;
9391E4;Medium Violet;Expensive;;;;;;;
5F2683;Dark Purple;;;;;;;;
7A238D;Purple;Expensive;;;;;;;
C689D9;Medium Lavender;;;;;;;;
D3BDE3;Lavender;;;;;;;;
B72276;Magenta;;;;;;;;
EF5BB3;Dark Pink;;;;;;;;
F7BCDA;Bright Pink;;;;;;;;
F5CDD6;Pink;Expensive;;;;;;;
